Split,MAE,RMSE,R2,Pearson,Spearman,Synergy_Threshold,Macro_F1,Balanced_Accuracy,AUROC,AUPRC,MCC,Precision_at_50,Recall_at_100,nDCG_at_100,Enrichment_at_100
random,6.851900179697948,10.331846504295697,0.3101510343016579,0.5657709073066477,0.406972937878565,8.0,0.5866198292362015,0.5650729336075312,0.7370896896622873,0.3778430839934273,0.28084950866437103,0.8109999999999999,0.13768604514051938,0.9610780954373894,6.5649952106304434
cold_combination,7.447726366586252,11.731325338065648,0.1197913890868777,0.3477916887337764,0.29691179587449384,8.0,0.551657028124849,0.5433546834052695,0.6763054117167939,0.27270962277249233,0.1827760433753721,0.6003333333333335,0.09674226903589317,0.8515887193730277,4.630338634419337
cold_cell_line,7.059657891217082,11.396592561245495,0.24756603732004878,0.5040078031557178,0.36192917992316626,8.0,0.5630635690483272,0.5506601079431004,0.7062083059346892,0.32582042337029254,0.23080996106780638,0.8966666666666666,0.01655916533020722,0.9816313246926637,7.937574490493283
cold_drug,7.6344246253443755,11.656667149175943,-0.022339537393223585,0.22138370985146483,0.21789443879488418,8.0,0.523299413297847,0.5259172520287098,0.5970316569509739,0.19024470785283415,0.11003599963145284,0.32433333333333336,0.03933867391513706,0.6547258740162719,3.172059450675811
