Model,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2
Random Forest,10.400914,6.879476,0.30533,10.331847,6.8519,0.310151
Extra Trees,10.444923436270045,6.889643332873325,0.2994386193063395,10.40608998230476,6.8709012739461555,0.30020105962779486
XGBoost,10.830605970763415,7.031489598711086,0.2467464572351331,10.771754275358488,7.003638504192326,0.25015585947114405
LightGBM,11.248224328039136,7.264468411132568,0.18753696821940447,11.204094539689214,7.247069106590806,0.1887557042527599
CatBoost,11.492887524898153,7.33398338789801,0.15180836720801205,11.442951410137994,7.314517685211337,0.15379763602227303
