Split,Model,MAE,RMSE,R2,Pearson,Spearman,Synergy_Threshold,Macro_F1,Balanced_Accuracy,AUROC,AUPRC,MCC,Precision_at_50,Precision_at_100,Recall_at_100,nDCG_at_100,Enrichment_at_100,R2_Gap_vs_Random,RMSE_Change_vs_Random,MAE_Change_vs_Random,Pearson_Gap_vs_Random,Spearman_Gap_vs_Random
random,extra_trees_depth25,6.200880400414223,9.19805350187704,0.4532484921767489,0.6770200728873422,0.5394929224130639,8.0,0.6454695054884232,0.6074704789945193,0.79701695054564,0.4724655029075065,0.3685565352926157,0.8390000000000001,0.7825000000000002,0.1638792170291908,0.812044181837349,7.817301166590414,0.0,0.0,0.0,0.0,0.0
cold_combination,extra_trees_depth25,7.163804972225792,11.367970244959228,0.1734724936069323,0.4176783886805141,0.3815346954462746,8.0,0.5801547825264439,0.5620551702741035,0.7151981813756852,0.3266839399731043,0.2354922432613776,0.6416666666666668,0.5566666666666665,0.1162913939751019,0.5891783386465116,5.561108381577378,-0.2797759985698166,2.1699167430821884,0.9629245718115689,-0.2593416842068281,-0.1579582269667893
cold_cell_line,extra_trees_depth25,6.810528127128357,10.951220465514742,0.3052262683783086,0.5540393352729975,0.4260323038711885,8.0,0.5918090270017675,0.5695506864066227,0.7334968800158729,0.3694628499187227,0.2733404283391986,0.9099999999999998,0.9033333333333332,0.0188369581227934,0.917186796322774,9.032201222589851,-0.14802222379844032,1.7531669636377032,0.609647726714134,-0.12298073761434469,-0.11346061854187539
cold_drug,extra_trees_depth25,7.355868764829941,11.0554614096307,0.0803975670777658,0.3174811340366966,0.296016764392927,8.0,0.5435794684519976,0.5384819720308026,0.6419473138356133,0.2306059775575837,0.1475398032619938,0.4366666666666667,0.4073333333333332,0.0505276331683234,0.4121938085251284,4.0710482413788736,-0.3728509250989831,1.857407907753661,1.1549883644157175,-0.35953893885064564,-0.2434761580201369
