Split,Model,n_estimators,max_depth,min_samples_leaf,max_features,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2
cold_combination,Extra Trees depth25,50,25,1,1.0,11.484645203913312,7.14489046325054,0.14537794970525497,11.367970244959228,7.163804972225792,0.1734724936069323
cold_cell_line,Extra Trees depth25,50,25,1,1.0,9.641496120334425,6.5683638874844235,0.3358859333472308,10.951220465514742,6.810528127128357,0.3052262683783086
cold_drug,Extra Trees depth25,50,25,1,1.0,12.091331911057974,7.596936373178232,0.0847095991746567,11.0554614096307,7.355868764829941,0.0803975670777658
