Split,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2
random,11.081660222272015,7.198328099395195,0.2114207759397536,11.037998348006676,7.1791220426956555,0.21263015844159028
cold_combination,11.893038658300423,7.387598465651698,0.08351662982270458,11.695988161644213,7.421400832190234,0.1250861431078274
cold_cell_line,10.686608252658738,7.11898025187686,0.18410626876948955,11.967447195607841,7.284854252856787,0.17029943529504288
cold_drug,12.247100104801273,7.687456944915653,0.06097499454604027,11.262943172573106,7.448219929350419,0.045556660967122964
