Configuration,n_estimators,max_depth,min_samples_leaf,max_features,Validation_RMSE,Validation_MAE,Validation_R2
ET_50_depthNone,50,,1,1.0,8.991261202546939,5.99455938483827,0.4808690763474055
ET_100_depth25,100,25.0,1,1.0,9.255798081640435,6.218692328560384,0.44987242491177826
ET_50_depth25,50,25.0,1,1.0,9.275172220947391,6.2285612546050055,0.4475669720380425
ET_50_depth15,50,15.0,1,1.0,10.45314569642684,6.892635344127452,0.2983352191365898
ET_100_depth15_leaf2,100,15.0,2,1.0,10.457689377210013,6.895157513662781,0.29772509970076755
ET_100_depth15,100,15.0,1,1.0,10.45947733678549,6.895292776067955,0.29748494216192123
ET_100_depth15_sqrt,100,15.0,1,sqrt,11.512305798794378,7.303893087125711,0.1489397527650399
