Model,RMSE,MAE,R2
Random Forest,10.650923328363463,6.953106336694334,0.27323957130181664
Extra Trees,10.683047659415047,6.981892666666667,0.26884898469169494
XGBoost,10.816536407713453,7.075146567471432,0.2504628060891412
CatBoost,11.126645814257307,7.22230123738274,0.20686834581987612
LightGBM,11.138079242474625,7.186033400840361,0.20523750879906655
