Training_Fraction,Training_Percentage,Training_Samples,RMSE,MAE,R2
0.01,1.0,22971,12.180017670703444,7.775030575426089,0.04127519634204091
0.05,5.0,114857,11.169064223370397,7.212555677988389,0.1938205880987236
0.1,10.0,229715,10.670431973343826,6.953491392910539,0.26419602535285136
0.25,25.0,574288,10.091664220543821,6.6511367883510975,0.3418517811737105
1.0,100.0,2297155,9.198053501877041,6.200880400414223,0.4532484921767489
