NSC,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,RingCount,NumAromaticRings,FractionCSP3,MolMR
740.0,454.44700000000023,454.1713158039999,0.2684000000000003,210.53999999999996,5,10,9,33,3,3,0.25,118.26160000000006
750.0,246.30599999999998,246.023180168,-0.2809999999999997,86.74000000000001,0,6,7,14,0,0,1.0,50.82560000000003
752.0,167.197,167.02656616,0.5976899999999998,83.38,3,4,0,11,2,2,0.0,43.4858
755.0,152.182,152.015667128,1.0154899999999998,57.36,2,3,0,10,2,2,0.0,39.07340000000001
762.0,156.056,155.026854712,1.3958,3.24,0,1,4,8,0,0,1.0,38.93700000000001
1390.0,136.114,136.038510748,-0.35380000000000006,74.43,2,3,0,10,2,2,0.0,34.5094
3053.0,1255.4379999999994,1254.6284746719998,0.7256400000000076,359.98,5,18,8,90,7,1,0.6129032258064516,325.4772000000008
3088.0,304.217,303.07928420800005,3.377900000000002,40.54,1,2,9,19,1,1,0.5,80.66880000000005
6396.0,189.22399999999996,189.04895501399997,0.15770000000000017,9.03,0,1,3,11,3,0,1.0,49.00400000000002
8806.0,305.2049999999999,304.07453317599993,1.925,66.56,2,3,8,19,1,1,0.46153846153846156,79.41020000000003
9706.0,204.23699999999994,204.11234438399998,-0.6683999999999999,47.699999999999996,0,6,3,15,4,1,0.6666666666666666,56.46600000000002
13875.0,210.285,210.15929457599998,0.0696000000000001,48.39000000000001,0,6,3,15,1,1,0.6666666666666666,62.808000000000035
14229.0,399.9660000000002,399.20774026,5.972400000000006,37.39,1,4,9,28,3,3,0.43478260869565216,120.91770000000005
18509.0,131.131,131.058243148,-0.6210000000000004,80.39,2,3,4,9,0,0,0.6,30.931199999999993
19893.0,130.078,130.017855556,-0.7977000000000001,65.72,2,2,0,9,1,1,0.0,27.641399999999994
24559.0,1085.1560000000002,1084.4726533120001,-0.24927999999999162,358.20000000000005,11,24,15,76,8,2,0.7692307692307693,258.57529999999934
25154.0,356.058,353.95785195200006,1.2272,40.620000000000005,0,2,4,16,1,0,0.8,69.98200000000003
26271.0,261.089,260.02481971,1.884,41.57000000000001,1,2,5,14,1,0,1.0,59.19120000000004
26980.0,334.3320000000001,334.127719676,-1.6511999999999976,146.89000000000001,3,8,3,24,4,0,0.5333333333333333,80.1105
27640.0,246.19399999999996,246.065199672,-1.6835999999999995,104.54999999999998,3,5,2,17,2,1,0.5555555555555556,52.900300000000016
32065.0,76.05499999999999,76.027277368,-0.9561000000000002,75.35000000000001,3,2,0,5,0,0,0.0,14.5056
34462.0,252.10100000000003,251.022831952,0.34720000000000006,68.96000000000001,2,3,5,15,1,1,0.5,61.336400000000005
38721.0,320.04600000000005,317.95366104,5.929000000000003,0.0,0,0,3,18,2,2,0.14285714285714285,80.24100000000003
45388.0,182.18699999999998,182.09160894,0.06890000000000013,99.73,2,4,3,13,1,1,0.3333333333333333,45.308600000000006
45923.0,216.19199999999998,216.042258736,2.5478000000000005,52.58,0,4,1,16,3,3,0.08333333333333333,58.80800000000002
49842.0,810.9889999999999,810.420379436,3.9909000000000034,154.1,3,12,7,59,9,3,0.5869565217391305,220.4282999999993
63878.0,243.219,243.085520516,-2.5629999999999993,130.83,4,7,2,17,2,1,0.5555555555555556,55.918800000000026
66847.0,258.23299999999995,258.0640568,0.08779999999999993,83.55000000000001,1,4,1,19,3,1,0.23076923076923078,63.113700000000016
67574.0,824.972,824.3996439919999,3.5175000000000036,171.17,3,12,8,60,9,3,0.5652173913043478,220.56829999999934
71423.0,384.5160000000002,384.23005950399994,4.575300000000004,60.440000000000005,0,4,2,28,4,0,0.7083333333333334,106.41100000000007
