Ensemble,RMSE,MAE,R2
Validation-Weighted Ensemble,10.308775326306764,6.829692546236847,0.3132284819467892
RF + Extra Trees,10.313996539131457,6.830387448473429,0.3125326304588324
RF + XGBoost,10.436070319840049,6.866889747991885,0.29616295677443816
RF + LightGBM,10.62991346505306,6.976673614987457,0.2697735079196809
Equal Weight,10.69180808225578,6.98400818871171,0.26124499571480986
RF + CatBoost,10.718193187134643,7.003785001648458,0.25759431674115607
