Split,Model,RMSE,MAE,R2
cold_combination,Random Forest,11.731325338065648,7.447726366586252,0.1197913890868777
cold_combination,Extra Trees,11.640733225868889,7.373067212650755,0.13333326426218328
cold_combination,RF + Extra Trees Weighted Ensemble,11.599114909920337,7.361010823829098,0.1395192546879992
cold_cell_line,Random Forest,11.396592561245495,7.059657891217082,0.24756603732004878
cold_cell_line,Extra Trees,11.483111672692889,7.0877565148363875,0.23609821903968176
cold_cell_line,RF + Extra Trees Weighted Ensemble,11.381471135215163,7.037429132353214,0.24956142781122592
cold_drug,Random Forest,11.656667149175943,7.6344246253443755,-0.022339537393223585
cold_drug,Extra Trees,11.176331951057689,7.470166402994348,0.06017942098931439
cold_drug,RF + Extra Trees Weighted Ensemble,11.269580603982682,7.4754038743989035,0.044431392238775014
